player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,3802,1892,-2.52150994,1.763502288,-0.7580076517,-1.687892649,3.103440829,1.41554818,-2.51737239,2.144151407,-0.3732209835,2.262658046,2.309610969,-0.0469529228,-2.483956299,2.024360199,-0.4595960992,-0.7286094997
Steven Adams,adamsst01,2022,4392,2113,0.4706397118,1.349454016,1.820093728,6.291396752,-3.165318157,3.126078595,1.68548015,0.4503484667,2.135828616,5.263587097,5.140587253,0.1229998446,1.373339502,1.526354478,2.89969398,-0.2424297567
Bam Adebayo,adebaba01,2022,4893,2439,-0.3994729629,3.721911968,3.322439005,1.775651957,3.481456391,5.257108348,0.007084621972,3.848342285,3.855426907,8.275218538,6.102629373,2.172589165,0.3054921967,3.410085396,3.715577593,-0.1181483783
Santi Aldama,aldamsa01,2022,763,360,-2.582434628,-2.419017647,-5.001452275,-2.71325598,1.162841546,-1.550414434,-2.809477244,-1.86506546,-4.674542704,-0.3547484658,-0.3547484658,0,-1.64380408,-2.281016105,-3.924820185,0.3575529361
LaMarcus Aldridge,aldrila01,2022,2205,1050,-0.5158208277,2.245440029,1.729619202,1.093065339,-0.4621390908,0.6309262477,-0.2411573214,1.830768233,1.589610912,2.319517969,2.319517969,0,0.2908679276,0.8445189463,1.135386874,-0.2260497375
Nickeil Alexander-Walker,alexani01,2022,3037,1471,-1.501128711,-1.209812106,-2.710940817,-2.399583516,-0.957128906,-3.356712422,-1.773719916,-1.22306792,-2.996787835,-0.1984664678,-0.294874403,0.09640793519,-0.7419825153,-1.313028957,-2.055011472,0.6862630318
Grayson Allen,allengr01,2022,4468,2110,0.4438659837,-0.3152035679,0.1286624158,-0.6833370055,1.131215619,0.4478786135,0.214310753,-0.06938760802,0.144923145,3.122603752,2.866134371,0.2564693813,0.02142402584,-0.2913752243,-0.2699511984,0.02209728958
Jarrett Allen,allenja01,2022,3667,1809,0.2195413651,4.27303115,4.492572515,0.02928148458,2.347238248,2.376519732,0.1942346736,4.089200453,4.283435127,6.460446752,6.460446752,0,-0.05356757685,3.470822716,3.417255139,-0.4787128881
Jose Alvarado,alvarjo01,2022,1979,951,0.669902408,3.998352939,4.668255347,-0.1474674332,4.407851273,4.26038384,0.5295962331,4.34240004,4.871996273,3.6697894,3.610532588,0.05925681274,0.4873619014,4.026851913,4.514213814,-0.1689927563
Justin Anderson,anderju01,2022,658,316,-0.7442992127,-4.903935758,-5.648234971,2.48989454,-3.090944474,-0.6010499343,-0.1096173585,-4.79164106,-4.901258419,-0.3504605332,-0.3504605332,0,-1.495222557,-4.185541626,-5.680764183,-0.6447119951
Kyle Anderson,anderky01,2022,3687,1705,-1.056568867,0.8309836538,-0.2255852128,-1.85456572,0.2791593357,-1.575406385,-1.324155641,0.7177696426,-0.6063859988,1.876176607,1.6335135,0.2426631076,-1.179563489,1.04090998,-0.1386535096,0.2156386883
Giannis Antetokounmpo,antetgi01,2022,5669,2652,5.516621632,1.997102543,7.513724175,4.350578699,3.880730627,8.231309326,5.587616641,2.479239158,8.066855799,14.97824985,12.00410799,2.974141859,4.894021653,1.960607856,6.854629509,1.646594425
Thanasis Antetokounmpo,antetth01,2022,1053,493,-2.43561779,-0.1226369089,-2.558254699,-4.812143123,-2.909139581,-7.721282703,-3.10781245,-0.7190338402,-3.82684629,-0.2699030053,-0.223418394,-0.04648461137,-2.643057921,-0.881603371,-3.524661292,0.1194861947
Carmelo Anthony,anthoca01,2022,3850,1793,0.2251712183,-2.094629581,-1.869458363,-0.4396007524,-0.2005919332,-0.6401926856,0.1247096331,-1.801803438,-1.677093805,0.980577176,0.980577176,0,0.07074834873,-2.121462187,-2.050713838,-0.09222844517
Cole Anthony,anthoco01,2022,4282,2059,-0.5133056604,-2.062585867,-2.575891528,0.9129532259,-1.041265472,-0.1283122464,-0.1238523394,-1.959666521,-2.083518861,0.699164318,0.699164318,0,-1.182540622,-1.431170083,-2.613710705,-0.1393074095
OG Anunoby,anunoog01,2022,3910,1945,0.0670385606,-0.4894648639,-0.4224263033,0.5372856279,1.240731646,1.778017274,0.1556388856,-0.1761561462,-0.0205172606,2.742999093,2.06140996,0.6815891328,0.5827319552,0.7095025605,1.292234516,-0.1411975971
Ryan Arcidiacono,arcidry01,2022,157,76,-2.087109578,6.257549428,4.17043985,-11.51336427,2.266879176,-9.246485097,-4.22319173,5.765752228,1.542560498,0.1671225722,0.1671225722,0,-4.587868472,3.018326869,-1.569541603,0.4071616689
