Rk,Player,Age,Tm,Lg,TS%,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
1,Patrick McCaw,25,TOR,NBA,1.078,5,0,33,12,0,3,3.2,6.9,5,15.2,2.9,0,0,3,233,113,0.1,0,0.1,0.209,-2.5,3.5,1,0,1.1,1.1,1.1,1.1,0,0,3.3,3.3,1.1,2.2,3.3,4.4,2.2,0,0,6.5,5.5,1,1,,1,1
2,Udonis Haslem,40,MIA,NBA,1,1,0,3,54.6,0,0,0,37.5,19.1,0,0,0,0,30.1,200,111,0,0,0,0.475,24.1,7,31.1,0,24,24,24,24,0,0,0,0,0,12,12,0,0,0,0,0,48,1,1,,1,
3,Gary Payton,28,GSW,NBA,0.847,10,0,40,29.2,0.308,0.308,5.4,23.6,14.6,4.1,7,2.2,6.3,16.8,152,95,0.2,0.1,0.3,0.331,0.5,9,9.5,0.1,9,11.7,7.2,8.1,1.8,3.6,2.7,3.6,1.8,8.1,9.9,0.9,5.4,0.9,0.9,7.2,22.5,0.769,0.889,0.5,0.846,0.75
4,Grant Riller,23,CHO,NBA,0.75,7,0,27,23.6,0.333,0,0,4.1,2,20.9,1.8,0,7.7,20.7,134,117,0.1,0,0.1,0.177,4.5,1,5.4,0.1,10.7,16,8,10.7,2.7,5.3,0,0,0,1.3,1.3,4,1.3,0,1.3,0,24,0.667,0.75,0.5,0.75,
5,DeAndre Jordan,32,BRK,NBA,0.736,57,43,1246,17.1,0.004,0.369,10.9,26.1,18.9,10.1,0.7,4.6,22.7,13.1,127,111,2.4,1.5,3.9,0.152,0,0.7,0.7,0.8,5.5,7.2,5.5,7.2,0,0,1.3,2.7,3.4,9,12.3,2.7,0.5,1.9,2.5,3.4,12.3,0.763,0.766,0,0.763,0.5
6,Dewayne Dedmon,31,MIA,NBA,0.735,16,0,210,24.5,0.077,0.415,15.5,31,23.4,9.6,2.1,3,14.5,19.3,135,105,0.7,0.4,1.1,0.256,1.2,0.7,1.9,0.2,7.9,11.1,7.7,10.3,0.2,0.9,3.4,4.6,4.8,9.9,14.7,2.1,1.5,1,2.2,6.2,19.4,0.708,0.75,0.2,0.715,0.741
7,Donta Hall,23,ORL,NBA,0.731,13,0,179,22.3,0,0.971,13.5,22.8,18,9.4,1.4,5.1,13.8,14,142,110,0.6,0.2,0.8,0.223,0.9,1.2,2.2,0.2,5,7,5,7,0,0,4.6,6.8,4.8,7.6,12.5,2.2,1,2,1.6,3.6,14.7,0.714,0.714,,0.714,0.676
8,Robert Williams,23,BOS,NBA,0.719,52,13,985,25.7,0.008,0.283,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15,139,104,3.4,1.9,5.3,0.258,3,3.1,6.1,2,6.8,9.4,6.8,9.4,0,0.1,1.6,2.7,4.9,8.2,13.1,3.4,1.6,3.3,1.9,3.8,15.2,0.721,0.727,0,0.721,0.616
9,Damian Jones,25,TOT,NBA,0.712,39,10,547,14.6,0.049,0.563,7.3,17.4,12.3,7,1,4.6,16.8,12.3,129,113,1,0.5,1.6,0.138,-2.2,0.9,-1.4,0.1,4.6,6.8,4.5,6.4,0.1,0.3,2.8,3.8,2.4,5.6,8,1.9,0.7,1.9,1.7,5.1,12,0.68,0.704,0.2,0.684,0.724
10,Chris Silva,24,TOT,NBA,0.708,15,0,92,11.5,0.063,0.938,8.9,24.4,16.8,9.3,0.5,6.6,30.7,15.9,110,109,0.1,0.1,0.2,0.101,-6.2,0.8,-5.5,-0.1,3.9,6.3,3.5,5.9,0.4,0.4,4.3,5.9,2.7,7.8,10.6,2.3,0.4,2.3,3.9,9.4,12.5,0.625,0.6,1,0.656,0.733
